feedback_type,B_s_mean,B_s_std,C_s_mean,C_s_std,T_s_mean,T_s_std,B_d_mean,B_d_std,C_d_mean,C_d_std,T_d_mean,T_d_std
BWMDC,0.759766612136311,0.11986707884013437,0.46150969036658196,0.13459839338563012,0.529964705143659,0.22003493408350516,0.8172966333330302,0.12793311380508174,0.5821146287181167,0.11580338298089196,0.4790299494586682,0.22560202019309028
SBMarvel,0.6978274744252883,0.1304835399725163,0.37083859532316193,0.13880987954615898,0.5889567683473858,0.1989231606887773,0.7956221215755233,0.09431377396859918,0.5527761858332355,0.07091877400454999,0.5199843597470494,0.21398500481049704
