# Title: Galaxy Shape Parameters and Properties
# Authors: [Your Name]
# Table: Galaxy Simulation Data
# Description: This table contains shape parameters and properties of galaxies from cosmological simulations.
#
# Column information:
# 1. SimName (char): Simulation name
# 2. HaloID (int): Halo identification number
# 3. HaloType (char): Halo type ('o' for central, 'v' for satellite)
# 4. B_s (float): Axis ratio B/A for stellar matter [unitless]
# 5. C_s (float): Axis ratio C/A for stellar matter [unitless]
# 6. T_s (float): Triaxiality parameter for stellar matter [unitless]
# 7. B_d (float): Axis ratio B/A for dark matter [unitless]
# 8. C_d (float): Axis ratio C/A for dark matter [unitless]
# 9. T_d (float): Triaxiality parameter for dark matter [unitless]
# 10. StellarMass (float): Log10 of stellar mass [log(Msun)]
# 11. HaloMass (float): Virial mass of the halo [Msun]
# 12. Reff (float): Effective radius [kpc]
# 13. ReffMulti (int): The multiplier at which measurements are taken
# 14. TDyn (float): Dynamical time at virial radius [Gyr]
h148	11	v	0.929271	0.771048	0.336524	0.818542	0.680939	0.615281	7.389679	1.147441e+10	0.890067	1	0.041323
h148	12	v	0.754720	0.601313	0.674158	0.768973	0.603062	0.642261	8.018604	9.068055e+09	0.805819	1	0.040042
h148	23	o	0.882035	0.749488	0.506573	0.933064	0.856864	0.486830	8.001739	3.333370e+09	2.046810	1	0.267359
h229	2	v	0.880229	0.585949	0.342940	0.946551	0.848547	0.371616	8.916997	5.005167e+10	1.465463	1	0.041800
h229	3	v	0.672271	0.513276	0.744082	0.748984	0.592917	0.677035	7.542794	1.069968e+10	1.091078	1	0.058079
h229	6	v	0.774037	0.538351	0.564459	0.847040	0.701564	0.556358	7.393811	7.610131e+09	1.326251	1	0.092292
h229	18	v	0.909838	0.776001	0.432845	0.940151	0.849701	0.417670	7.887329	1.509991e+09	1.475232	1	0.243066
h242	8	v	0.835738	0.472376	0.388155	0.909540	0.749167	0.393701	8.903241	1.194731e+10	2.284123	1	0.166481
h242	10	v	0.948297	0.667909	0.181860	0.945031	0.859159	0.408315	8.900651	9.255485e+09	1.983308	1	0.153041
r431	1	o	0.935128	0.198015	0.130659	0.966830	0.523443	0.089861	9.170688	8.993067e+10	3.686783	1	0.124434
