# Title: Galaxy Shape Parameters and Properties
# Authors: [Your Name]
# Table: Galaxy Simulation Data
# Description: This table contains shape parameters and properties of galaxies from cosmological simulations.
#
# Column information:
# 1. SimName (char): Simulation name
# 2. HaloID (int): Halo identification number
# 3. HaloType (char): Halo type ('o' for central, 'v' for satellite)
# 4. B_s (float): Axis ratio B/A for stellar matter [unitless]
# 5. C_s (float): Axis ratio C/A for stellar matter [unitless]
# 6. T_s (float): Triaxiality parameter for stellar matter [unitless]
# 7. B_d (float): Axis ratio B/A for dark matter [unitless]
# 8. C_d (float): Axis ratio C/A for dark matter [unitless]
# 9. T_d (float): Triaxiality parameter for dark matter [unitless]
# 10. StellarMass (float): Log10 of stellar mass [log(Msun)]
# 11. HaloMass (float): Virial mass of the halo [Msun]
# 12. Reff (float): Effective radius [kpc]
# 13. ReffMulti (int): The multiplier at which measurements are taken
# 14. TDyn (float): Dynamical time at virial radius [Gyr]
# 15. AbsAngle (float): Absolute angle between dark matter and stellar matter [degrees]
# 16. AxisA_Angle (float): Angle difference for axis A [degrees]
# 17. AxisB_Angle (float): Angle difference for axis B [degrees]
# 18. AxisC_Angle (float): Angle difference for axis C [degrees]
rogue	10	o	0.631074	0.478588	0.780521	0.647586	0.502568	0.776844	7.366554	1.110454e+10	1.773657	2	0.118161	2.653317	2.565459	2.589109	0.891546
rogue	11	o	0.856352	0.406054	0.319308	0.911117	0.586315	0.258850	6.891287	7.951543e+09	1.665362	2	0.127045	0.350308	20.730347	20.789223	1.623886
rogue	12	o	0.817035	0.580132	0.501102	0.785625	0.607648	0.606873	7.144139	7.468231e+09	1.630388	2	0.126984	10.307296	10.165944	9.333904	4.681415
rogue	15	o	0.910020	0.690440	0.328428	0.885068	0.731109	0.465446	6.251100	3.787141e+09	0.632801	2	0.043119	26.205166	26.214469	32.902858	19.558104
rogue	28	o	0.816442	0.468211	0.427040	0.922157	0.569104	0.221301	6.178371	1.631034e+09	0.842333	2	0.100906	13.051018	14.368216	13.108645	6.107525
h148	2	v	0.658653	0.363197	0.652210	0.800711	0.586846	0.547369	9.355789	9.425159e+10	6.382254	2	0.276846	4.623791	4.615813	4.613898	0.406098
h148	3	v	0.914405	0.310212	0.181310	0.965758	0.657217	0.118493	9.176719	4.679780e+10	6.664831	2	0.419268	5.585573	4.625040	4.536048	4.518192
h148	4	v	0.883459	0.310286	0.242885	0.959463	0.580123	0.119723	8.634802	3.225804e+10	5.018599	2	0.329971	70.260902	70.260905	70.279817	1.428541
h148	6	v	0.928230	0.332263	0.155564	0.895209	0.532060	0.277023	8.520610	2.853380e+10	4.732690	2	0.321295	32.242937	32.229576	31.955557	4.280705
h148	7	v	0.611249	0.474884	0.808763	0.658816	0.540951	0.800089	8.372827	1.557731e+10	3.010719	2	0.220638	2.632715	3.043150	13.097108	12.918712
h148	11	v	0.680707	0.628135	0.886350	0.652482	0.605853	0.907297	7.389679	1.147441e+10	1.780135	2	0.116879	60.113085	2.300961	60.063372	60.109503
h148	12	v	0.697935	0.470798	0.658942	0.771300	0.517321	0.553124	8.018604	9.068055e+09	1.611637	2	0.113257	5.121969	2.161840	4.979676	4.795106
h148	23	o	0.953089	0.722577	0.191723	0.950147	0.893339	0.481422	8.001739	3.333370e+09	4.093619	2	0.756207	9.006988	9.367982	12.034504	14.828222
h229	2	v	0.937092	0.522384	0.167592	0.933726	0.761198	0.304713	8.916997	5.005167e+10	2.930927	2	0.118228	21.871739	21.874462	22.017066	2.518079
h229	3	v	0.565971	0.453333	0.855489	0.669837	0.534951	0.772341	7.542794	1.069968e+10	2.182156	2	0.164272	8.077090	2.293627	7.949466	7.874494
h229	6	v	0.884215	0.531058	0.303858	0.879660	0.650645	0.392255	7.393811	7.610131e+09	2.652502	2	0.261041	nan	nan	nan	nan
h229	18	v	0.952165	0.830157	0.300418	0.944946	0.874097	0.453806	7.887329	1.509991e+09	2.950463	2	0.687494	46.870727	47.101761	56.743160	30.480940
h242	8	v	0.919962	0.498406	0.204458	0.939618	0.803433	0.330380	8.903241	1.194731e+10	4.568247	2	0.470880	54.224770	54.268603	54.367597	4.168271
h242	10	v	0.958169	0.687661	0.155397	0.968540	0.875460	0.265148	8.900651	9.255485e+09	3.966616	2	0.432864	84.058659	84.063393	84.066010	1.173704
r431	1	o	0.788158	0.170738	0.390181	0.960989	0.587458	0.116813	9.170688	8.993067e+10	7.373566	2	0.351952	0.491117	30.225728	30.225327	0.710988
