Mass,Triaxiality
98973091.3421565,0.5981398865565307
97988846.3842381,0.6511806340269852
94318096.74609976,0.5556696619656668
92736850.74813247,0.6578376802651948
92631972.1870428,0.7506366449781199
91534781.08641243,0.7023144143220914
90526333.38362718,0.6080935086954697
90477927.89389348,0.3984235996762295
90163292.21062449,0.522909912932101
89743777.96626581,0.5871916917891701
89340398.88515171,0.6624932372838203
89316196.14028487,0.6828854671111593
88686924.77374686,0.55827896531521
88170599.54992081,0.5051453554142129
88025383.08071974,0.6295157629931336
87847896.28502953,0.7186496244916338
87831761.12178496,0.5722728914376005
87525193.02013823,0.6497161250149834
86661961.78655407,0.5284876626307883
85984284.93028237,0.5639081887845021
85863271.20594814,0.7090861560086705
85419554.21672262,0.560807918579516
85346945.9821221,0.6687480981944353
85016175.13560852,0.4796772844128284
84677336.70747268,0.6775744095418176
83806037.89226621,0.5948137195233529
83733429.65766567,0.6414405945421212
82450684.17972282,0.5965576337267935
81418033.73207071,0.50522607519582
80998519.48771204,0.4726368797043256
