Mass,Triaxiality
93045242123.22546,0.6862330323445861
54295074412.9885,0.45930605987740875
32146045394.236942,0.6876449825484509
24604833134.90069,0.6002644924969441
14295480336.908646,0.365861537429115
12703238225.190195,0.6182184017753692
12559764353.619532,0.8565008382055851
12360107843.631294,0.1454388530392805
10513995073.422873,0.47159711983118946
8419675087.023321,0.1626289896297835
8363064866.779768,0.5581773833913076
5622233091.9154005,0.9994662222403937
5087610592.970015,0.26364613974261725
5022989264.175535,0.2884629141383975
4957956488.718319,0.7344082327590693
4215158113.5915666,0.7197976698478473
4010959555.1499844,0.2017591434345514
3079121607.4499125,0.6696869451309834
2792754730.185387,0.36148348816054027
2773658764.4854455,0.36457833801188544
2702785059.933697,0.5225076328913407
2692781258.7220674,0.32663658198681905
2599520015.1684866,0.4540955952693755
2398935733.293687,0.8323808585687904
2239496117.692525,0.6575963107230013
2175721884.9683857,0.6456061438195776
1889096845.091948,0.4616284488956231
1660639068.7121642,0.27946068406697017
1640284560.2791467,0.4102947354238435
1602826778.806891,0.48534136946146306
1600172544.45316,0.22273976050736452
1573985174.5072327,0.36641925381916596
1564594509.4988961,0.35243282159413547
1530420233.7469094,0.5859941672696608
1238898171.8257468,0.3865536517016697
1237712237.3272715,0.29431909144744983
1173203854.6755037,0.482483346536493
1050286181.0784141,0.3768370321793801
1050068356.3746126,0.36946605279384725
1033828314.5689585,0.2803682728876128
975193131.3382125,0.48170078214961926
964003395.6281072,0.19085001217561054
926150302.6563597,0.852126614413664
900664812.3115706,0.35243817864787363
893057082.8417587,0.5152079598455058
831920949.3081051,0.5317327651590952
776206230.6246252,0.5802638157636101
763136748.3965282,0.44276572412216636
757457170.9344416,0.6324118432822469
730995503.2133564,0.6731271057675479
709721290.4753987,0.43984572202676453
696877700.5327256,0.438314775280788
694215398.5973724,0.5655573190966489
692739031.1604948,0.6551608311253344
680807077.9411397,0.49943539122928027
671230858.5554909,0.479044147731301
659266635.0096465,0.4657749767247054
651884797.8252585,0.44211007665202634
624374344.4932766,0.33614969763610986
613563785.1194186,0.45027935096194516
549821822.7217679,0.40063700395548063
540552171.4377658,0.5577599739773595
534888729.13892376,0.4132880185173205
470315805.8341781,0.3412969752473334
466298150.1862816,0.54523995951883
466177136.4619474,0.47668192780342783
458835637.18567073,0.46802520086173954
421837707.86588514,0.45699228860879526
411019080.91040486,0.7307062727278225
405613801.2234759,0.4721202278575265
399934223.7613893,0.47551107286019306
388809028.7042623,0.3499099672522389
385404509.2596593,0.41946988996000856
370616632.14601624,0.44852164900836766
355901363.26697373,0.6047946009765954
351359314.8136289,0.4201488051430454
347914457.4609145,0.3579249692452069
344727762.7201131,0.704642891027086
325922229.9585736,0.44025763631903164
323687509.84920144,0.48772522773244925
315942631.4918107,0.7084328720323284
315837752.930721,0.4639305581644604
315426306.2679846,0.33903280801266433
315345630.4517618,0.5292115704467272
314442061.3100662,0.5519885552636794
306092114.33100426,0.5403203050241697
305672600.0866456,0.36721725445217407
305422505.0563548,0.48297322961781236
303558893.7016077,0.3892470080965712
303284595.9264501,0.520867812966717
297992262.382233,0.3834865017977979
295918893.9053065,0.48297840134015635
