Condition,S_* Mean,S_* Std,Q_* Mean,Q_* Std,T_* Mean,T_* Std,S_DM Mean,S_DM Std,Q_DM Mean,Q_DM Std,T_DM Mean,T_DM Std,Log M* Mean,Log M* Std,log(M$_{Bary}$/M$_{vir}$) Mean,log(M$_{Bary}$/M$_{vir}$) Std,Effective Radius (Kpc) Mean,Effective Radius (Kpc) Std,Halo Mass Mean,Halo Mass Std,T_diff Mean,T_diff Std,$\Delta D$ Mean,$\Delta D$ Std,$S_{DM} - S_*$ Mean,$S_{DM} - S_*$ Std,$Q_{DM} - Q_*$ Mean,$Q_{DM} - Q_*$ Std
All,0.794385445366778,0.0985644722080504,0.5114513882520856,0.15692051551389277,0.5152302663542027,0.20252470896460725,0.7903282975652595,0.11533601866536752,0.5621603736539253,0.1036039131321127,0.525661795924329,0.2062148557131142,8.00979952164162,0.8806442259039352,-2.2978887174730147,0.5353461824970335,1.6289528764572272,1.009086643654275,10.307688239114634,0.47900305381181374,0.010431529570126425,0.12729817304226396,0.17422245667609856,0.10675373133587815,-0.004057147801518622,0.10308353229630311,0.05070898540183985,0.16892527130343035
Dark Matter Dominated,0.8023096538790236,0.08409720295837446,0.606048512638518,0.1427355796902411,0.5775773633287703,0.14872520956850754,0.7144576339157404,0.11774663586187407,0.5143869595032671,0.11623000936551608,0.6461336830370008,0.14404773072099894,6.99609572642028,0.5338956373873348,-2.9052646441313623,0.3070520555558295,0.728323024797523,0.3446140912457747,9.901360370551641,0.28242919986047277,0.06855631970823044,0.14098497768504537,0.18216357703450373,0.11590462004768813,-0.0878520199632834,0.10577415930840807,-0.09166155313525069,0.1389584802529464
Merians,0.7745184529039919,0.10682580108849853,0.4102983242267377,0.11139008139626294,0.49491878213589285,0.23849731517206876,0.8401783932223869,0.09575586388560563,0.591979657428963,0.0778936952431182,0.43986030647134605,0.2240530769085569,8.647683242362591,0.3914201023413525,-2.0798177427701634,0.2657718463892133,2.1202679849071555,0.9748296924434137,10.727500985132755,0.13663438949256798,-0.05505847566454687,0.08376920801173113,0.2080819500631414,0.11505121220498256,0.06565994031839478,0.058253850921200404,0.1816813332022253,0.12578566543137173
DCJL+Marvel,0.8060465061601525,0.0913857691740139,0.5708238388756592,0.149210223354245,0.5271522244823409,0.17697478930705593,0.7610684588099891,0.11581739445870208,0.5446577505685771,0.11244756025451992,0.5760235397336887,0.17652799100404054,7.635389511653222,0.8728108636089272,-2.4258868982768624,0.6075022209447295,1.3405722693235735,0.9128515830652423,10.061276409930084,0.4347344616093652,0.04887131525134771,0.13267432012898556,0.1543484062097908,0.09616760439139528,-0.044978047350163454,0.10170590509158757,-0.02616608830708204,0.14149154950970014
Disky,0.9070416352646389,0.031008131616648806,0.42837926090185985,0.1530479351465631,0.21983005714049283,0.05037282434652924,0.9179896430384724,0.03192951543550057,0.6223581905478248,0.08078158485772279,0.2585168979842531,0.09245188034467805,8.548379992237031,0.4933978382376688,-2.023601506145632,0.353984824017789,2.3198615122896236,0.8937610104214746,10.571981498382659,0.33157736685699707,0.03868684084376022,0.12002032525445594,0.21773344781090873,0.12091357923914159,0.01094800777383344,0.05270529003461011,0.19397892964596508,0.1466370223429381
Prolate,0.6868547619881977,0.08494994134040834,0.5762792440003783,0.10666421684479153,0.7908716122563861,0.05547098612180016,0.7017793489524226,0.08865801233401328,0.5655281293329981,0.09744737037057019,0.7355392289767184,0.09819610686368767,8.051629906429882,0.7672524746149607,-2.3009878419030274,0.4464932016193536,1.12039120353697,0.6033171841083267,10.352617748332909,0.3813551863207025,-0.055332383279667684,0.1058132339531393,0.11028034602760883,0.06416147739244028,0.01492458696422498,0.08206752031121113,-0.010751114667380235,0.09594291140295276
