# Title: Galaxy Shape Parameters and Properties
# Authors: Blake Keith
# Table: Galaxy Simulation Data
#
# Column information:
# 1. SimName (char): Simulation name
# 2. HaloID (int): Halo identification number
# 3. HaloType (char): Halo type ('o' for central, 'v' for satellite)
# 4. B_s (float): Axis ratio B/A for stellar matter [unitless]
# 5. C_s (float): Axis ratio C/A for stellar matter [unitless]
# 6. T_s (float): Triaxiality parameter for stellar matter [unitless]
# 7. B_d (float): Axis ratio B/A for dark matter [unitless]
# 8. C_d (float): Axis ratio C/A for dark matter [unitless]
# 9. T_d (float): Triaxiality parameter for dark matter [unitless]
# 10. StellarMass (float): Log10 of stellar mass [log(Msun)]
# 11. HaloMass (float): Virial mass of the halo [Msun]
# 12. Reff (float): Effective radius [kpc]
# 13. ReffMulti (int): The multiplier at which measurements are taken
# 14. Jz_Jcirc (float): Ratio of z-component of angular momentum to circular angular momentum, averaged over all particles in the halo [unitless]
# 15. TDyn (float): Dynamical time at virial radius [Gyr]
h148	4	v	0.822207	0.331347	0.363933	0.949472	0.620414	0.160145	8.634802	3.225804e+10	2.509300	1	258.649516	0.116662
h148	6	v	0.797605	0.349027	0.414295	0.864649	0.594535	0.390366	8.520610	2.853380e+10	2.366345	1	0.071471	0.113595
h148	7	v	0.715584	0.599153	0.761197	0.742123	0.626235	0.739112	8.372827	1.557731e+10	1.505359	1	3.445466	0.078007
h148	11	v	0.925119	0.720417	0.299700	0.772175	0.657704	0.711540	7.389679	1.147441e+10	0.890067	1	0.000125	0.041323
h148	12	v	0.745034	0.596091	0.690152	0.725128	0.545509	0.675081	8.018604	9.068055e+09	0.805819	1	-0.003836	0.040042
h148	23	o	0.879631	0.743485	0.505890	0.933962	0.871113	0.529584	8.001739	3.333370e+09	2.046810	1	1079.814924	0.267359
h229	2	v	0.881644	0.585146	0.338660	0.947764	0.853496	0.374683	8.916997	5.005167e+10	1.465463	1	0.105037	0.041800
h229	3	v	0.671319	0.512629	0.745148	0.741738	0.585000	0.683859	7.542794	1.069968e+10	1.091078	1	0.000728	0.058079
h229	6	v	0.775906	0.535582	0.558044	0.851956	0.710410	0.553526	7.393811	7.610131e+09	1.326251	1	0.011707	0.092292
h229	18	v	0.906332	0.777663	0.451783	0.951835	0.875769	0.403427	7.887329	1.509991e+09	1.475232	1	1834.926644	0.243066
h242	8	v	0.836707	0.472556	0.386153	0.907973	0.747291	0.397652	8.903241	1.194731e+10	2.284123	1	54767.562712	0.166481
h242	10	v	0.945284	0.665059	0.190854	0.944365	0.864884	0.429308	8.900651	9.255485e+09	1.983308	1	16665.527907	0.153041
r431	1	o	0.934040	0.198638	0.132809	0.965743	0.539023	0.094920	9.170688	8.993067e+10	3.686783	1	0.515400	0.124434
r442	1	o	0.626493	0.259317	0.651303	0.911826	0.633620	0.281648	9.175320	7.627468e+10	2.926140	1	0.466684	0.095537
r468	1	o	0.727879	0.427188	0.575152	0.870121	0.733392	0.525582	9.311972	6.843624e+10	0.832325	1	0.078831	0.015301
r488	1	o	0.609344	0.525833	0.868971	0.876516	0.830410	0.746473	9.242271	7.545198e+10	1.517056	1	-0.003651	0.035858
