# Title: Galaxy Shape Parameters and Properties
# Authors: [Your Name]
# Table: Galaxy Simulation Data
# Description: This table contains shape parameters and properties of galaxies from cosmological simulations.
#
# Column information:
# 1. SimName (char): Simulation name
# 2. HaloID (int): Halo identification number
# 3. HaloType (char): Halo type ('o' for central, 'v' for satellite)
# 4. B_s (float): Axis ratio B/A for stellar matter [unitless]
# 5. C_s (float): Axis ratio C/A for stellar matter [unitless]
# 6. T_s (float): Triaxiality parameter for stellar matter [unitless]
# 7. B_d (float): Axis ratio B/A for dark matter [unitless]
# 8. C_d (float): Axis ratio C/A for dark matter [unitless]
# 9. T_d (float): Triaxiality parameter for dark matter [unitless]
# 10. StellarMass (float): Log10 of stellar mass [log(Msun)]
# 11. HaloMass (float): Virial mass of the halo [Msun]
# 12. Reff (float): Effective radius [kpc]
# 13. ReffMulti (int): The multiplier at which measurements are taken
# 14. Jz_Jcirc (float): Ratio of z-component of angular momentum to circular angular momentum, averaged over all particles in the halo [unitless]
# 15. TDyn (float): Dynamical time at virial radius [Gyr]
# 16. AbsAngle (float): Absolute angle between dark matter and stellar matter [degrees]
# 17. AxisA_Angle (float): Angle difference for axis A [degrees]
# 18. AxisB_Angle (float): Angle difference for axis B [degrees]
# 19. AxisC_Angle (float): Angle difference for axis C [degrees]
rogue	7	o	0.830678	0.786570	0.812926	0.937843	0.857026	0.453667	7.591579	1.430231e+10	1.859647	2	0.002087	0.111780	8.403047	31.473938	25.381065	21.885615
rogue	8	o	0.883291	0.560006	0.320220	0.966028	0.752766	0.154129	7.930176	1.246196e+10	3.138899	2	0.047758	0.262599	4.222541	56.064468	56.249560	4.246825
rogue	10	o	0.630999	0.479456	0.781487	0.648655	0.504954	0.777490	7.366554	1.110454e+10	1.773657	2	-0.002407	0.118161	3.113866	2.514033	3.412341	3.751173
rogue	11	o	0.845932	0.403090	0.339574	0.900166	0.577542	0.284648	6.891287	7.951543e+09	1.665362	2	0.019823	0.127045	27.546192	27.375371	27.468449	3.625693
rogue	12	o	0.821340	0.590977	0.500041	0.782917	0.603658	0.608942	7.144139	7.468231e+09	1.630388	2	0.004372	0.126984	8.040010	8.023496	8.037883	0.546347
rogue	15	o	0.906658	0.692111	0.341608	0.878126	0.725338	0.483019	6.251100	3.787141e+09	0.632801	2	-0.000200	0.043119	0.686196	26.214469	32.902858	19.558104
rogue	28	o	0.806953	0.459422	0.442150	0.932685	0.595059	0.201420	6.178371	1.631034e+09	0.842333	2	0.004121	0.100906	4.687634	15.579387	14.853000	4.699902
h148	2	v	0.659466	0.363093	0.650920	0.802971	0.599268	0.554299	9.355789	9.425159e+10	6.382254	2	11293.603802	0.276846	4.016670	3.984466	4.008343	0.569421
h148	3	v	0.914604	0.313288	0.181293	0.958371	0.644599	0.139479	9.176719	4.679780e+10	6.664831	2	600718.667946	0.419268	15.973800	16.237038	16.084554	3.446151
h148	4	v	0.881550	0.309745	0.246521	0.971468	0.584042	0.085370	8.634802	3.225804e+10	5.018599	2	258.649516	0.329971	82.364309	82.328214	82.361922	2.090674
h148	6	v	0.927176	0.333102	0.157861	0.902644	0.537542	0.260508	8.520610	2.853380e+10	4.732690	2	0.071471	0.321295	23.730823	23.688162	23.542126	3.261592
h148	7	v	0.610829	0.475965	0.810502	0.662234	0.549670	0.804523	8.372827	1.557731e+10	3.010719	2	3.445466	0.220638	14.282196	3.738191	14.031607	14.034385
h148	11	v	0.694627	0.603495	0.813933	0.724702	0.648983	0.820302	7.389679	1.147441e+10	1.780135	2	0.000125	0.116879	23.798133	2.155668	23.697890	23.797691
h148	12	v	0.701629	0.472651	0.653769	0.760477	0.510164	0.570037	8.018604	9.068055e+09	1.611637	2	-0.003836	0.113257	3.333046	1.303465	3.241126	3.164432
h148	23	o	0.958397	0.726931	0.172775	0.954676	0.901999	0.475296	8.001739	3.333370e+09	4.093619	2	1079.814924	0.756207	8.129816	7.325657	7.599045	4.552362
